"Species","Date","Site","Plant","Flower","Stigma","Pollen","Observer.x","Notes","Flw_height","D1","D2","D3","D4","D5","Observer.y"
"Dicanthelium sp 1",2021-06-09,"KMW","1SA1","1","2",13,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SA2","1","1",58,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SA2","1","2",14,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SA3","1","1",2,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SA3","1","2",2,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SNA1","1","1",70,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SNA1","1","2",190,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SNA2","1","1",35,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SNA2","1","2",18,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SNA3","1","1",75,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1",2021-06-09,"KMW","1SNA3","1","2",67,"Claire","SA=stigma collected with anthers still attached to flower. SNA=anthers removed. I don't think there's density data for these.",NA,NA,NA,NA,NA,NA,NA
