"File","Npoll","Pollen_sub","Tot_tube_vol_uL","Subsample_vol_uL","Label","Anther","Subsample","Species","Date","Site","Observer","N_anth_tube","Anth_per_flw"
"Tdio_count_Tdio_2-5uL_L4A2S3_count_RAW_ch00.tif_results.csv",90,90,450,2.5,"4","2","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L4A3S1_count_RAW_ch00.tif_results.csv",148,148,450,2.5,"4","3","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L4A3S2_count_RAW_ch00.tif_results.csv",79,79,450,2.5,"4","3","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L4A3S3_count_RAW_ch00.tif_results.csv",66,66,450,2.5,"4","3","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L5A1S1_count_RAW_ch00.tif_results.csv",113,113,450,2.5,"5","1","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A1S2_count_RAW_ch00.tif_results.csv",116,116,450,2.5,"5","1","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A1S3_count_RAW_ch00.tif_results.csv",92,92,450,2.5,"5","1","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A2S1_count_RAW_ch00.tif_results.csv",104,104,450,2.5,"5","2","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A2S2_count_RAW_ch00.tif_results.csv",113,113,450,2.5,"5","2","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A2S3_count_RAW_ch00.tif_results.csv",105,105,450,2.5,"5","2","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A3S1_count_RAW_ch00.tif_results.csv",89,89,450,2.5,"5","3","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A3S2_count_RAW_ch00.tif_results.csv",106,106,450,2.5,"5","3","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L5A3S3_count_RAW_ch00.tif_results.csv",174,174,450,2.5,"5","3","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,22
"Tdio_count_Tdio_2-5uL_L6A1S1_count_RAW_ch00.tif_results.csv",85,85,450,2.5,"6","1","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A1S2_count_RAW_ch00.tif_results.csv",104,104,450,2.5,"6","1","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A1S3_count_RAW_ch00.tif_results.csv",88,88,450,2.5,"6","1","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A2S1_count_RAW_ch00.tif_results.csv",69,69,450,2.5,"6","2","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A2S2_count_RAW_ch00.tif_results.csv",71,71,450,2.5,"6","2","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A2S3_count_RAW_ch00.tif_results.csv",63,63,450,2.5,"6","2","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A3S1_count_RAW_ch00.tif_results.csv",70,70,450,2.5,"6","3","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A3S2_count_RAW_ch00.tif_results.csv",76,76,450,2.5,"6","3","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L6A3S3_count_RAW_ch00.tif_results.csv",67,67,450,2.5,"6","3","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L8A1S1_count_RAW_ch00.tif_results.csv",126,126,450,2.5,"8","1","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A1S2_count_RAW_ch00.tif_results.csv",85,85,450,2.5,"8","1","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A1S3_count_RAW_ch00.tif_results.csv",139,139,450,2.5,"8","1","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A2S1_count_RAW_ch00.tif_results.csv",105,105,450,2.5,"8","2","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A2S2_count_RAW_ch00.tif_results.csv",79,79,450,2.5,"8","2","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A2S3_count_RAW_ch00.tif_results.csv",62,62,450,2.5,"8","2","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A3S1_count_RAW_ch00.tif_results.csv",125,125,450,2.5,"8","3","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A3S2_count_RAW_ch00.tif_results.csv",114,114,450,2.5,"8","3","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L8A3S3_count_RAW_ch00.tif_results.csv",109,109,450,2.5,"8","3","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,16
"Tdio_count_Tdio_2-5uL_L9A1S1_count_RAW_ch00.tif_results.csv",152,152,450,2.5,"9","1","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A1S2_count_RAW_ch00.tif_results.csv",173,173,450,2.5,"9","1","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A1S3_count_RAW_ch00.tif_results.csv",144,144,450,2.5,"9","1","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A2S1_count_RAW_ch00.tif_results.csv",154,154,450,2.5,"9","2","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A2S2_count_RAW_ch00.tif_results.csv",164,164,450,2.5,"9","2","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A2S3_count_RAW_ch00.tif_results.csv",182,182,450,2.5,"9","2","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A3S1_count_RAW_ch00.tif_results.csv",215,215,450,2.5,"9","3","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A3S2_count_RAW_ch00.tif_results.csv",130,130,450,2.5,"9","3","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
"Tdio_count_Tdio_2-5uL_L9A3S3_count_RAW_ch00.tif_results.csv",186,186,450,2.5,"9","3","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,27
